Gateway;Description;code;nbre_can;code_tbl;descr_tbl;groupe
10.13.1.199;ATELIER CENTRAL;-956232438;;0;;1
10.62.1.200;MBG GALVA;-939442678;;0;;2
10.133.1.149;EL MAZRAA MARKET TUN;-1795062518;;0;;3
10.50.3.1;DICK BOUMHAL;16986634;;0;;4
10.42.1.100;ALMES MATEUR;1677797898;;0;;5
10.88.1.200;NUTRIMIX;-939436022;;0;;6
10.31.1.250;AQUA LAC;-100589814;;0;;7
10.85.1.150;TPAP;-1778297590;;0;;8
10.68.1.200;ITC ALVEOLE;-939441142;;0;;9
10.24.1.250;PAYVAGO;-100591606;;0;;10
10.26.1.200;AGROMED;-939451894;;0;;11
10.58.1.100;STIBOIS SFAX;1677801994;;0;;12
10.89.1.254;SOKAPO;-33466102;;0;;13
10.9.1.70;ALMES SIFAC;1174472970;;0;;14
192.168.155.253;PGH;-40130368;;0;;15
10.17.10.1;EL MAZRAA;17436938;;0;;16
10.98.1.200;PROVITAL;-939433462;;0;;17
10.5.1.220;Aster Informatique;-603912950;;0;;18
10.97.1.160;ETTAAMIR;-1610522358;;0;;19
10.41.0.1;ALMES SIDI SALAH;16787722;;0;;20
10.73.1.200;COTIM;-939439862;;0;;21
10.64.0.254;CARTHAGO SFAX;-33538038;;0;;22
10.59.1.200;MED INDUSTRIE;-939443446;;0;;23
10.79.1.200;LINPACK;-939438326;;0;;24
PGH;PGH;0;;0;;25
10.23.1.200;UNIPACK;-939452662;;0;;26
10.3.1.99;MBG PROFILAGE;1661010698;;0;;27
10.29.1.200;NORDPACK;-939451126;;0;;28
10.72.5.200;CJO;-939177974;;0;;29
10.4.1.200;BARRAKET EL GHALLA;-939457526;;0;;30
10.41.0.1;COUVOIRS SFAX;16787722;;0;;31
10.38.1.200;BBM;-939448822;;0;;32
10.40.0.1;SNA TUNIS;16787466;;0;;33
10.41.0.101;GIPA SFAX;1694509322;;0;;34
10.62.1.200;SGTM;-939442678;;0;;35
10.47.1.107;PPM;1795239690;;0;;36
10.37.1.200;MEDOIL BM;-939449078;;0;;37
10.45.1.150;CHAHRAZED;-1778307830;;0;;38
10.50.1.50;SOCEQ;838939146;;0;;39
10.33.10.200;DATAXION;-938860278;;0;;40
10.54.1.95;STIBOIS;1593914890;;0;;41
10.43.1.200;SNA SIDI ELHANI;-939447542;;0;;42
10.52.1.180;PAF ETIREE;-1274989558;;0;;43
10.56.4.254;MEDOIL RADES;-33277942;;0;;44
10.34.1.200;SUDPACK;-939449846;;0;;45
10.55.1.200;PROINJECT;-939444470;;0;;46
10.51.1.50;PAF RADES;838939402;;0;;47
10.17.3.1;GIPA TUNIS;16978186;;0;;48
10.66.1.200;TECHNOFLEX;-939441654;;0;;49
10.63.0.254;FRIGAN;-33538294;;0;;50
10.30.1.200;DICK CEDRIA;-939450870;;0;;51
